question,answer,url_zalo,url_bus_image,url_link,
BUV buses do not stop near my house and the schedule sometime does not fit my personal schedule. What should I do?,"Beside BUV bus service, you can use Ecobus service of Ecopark alternatively. It’s recommended to use a combination of BUV bus and Ecobus service which provides more choice of destinations and time slot for your convenience. Ecobus pick-up and drop-off at entrance 2 of Vietcombank Training School opposite BUV. To purchase an Ecobus card, please visit EcoPM office at Tower C1, Rung Co Area.

You can check the schedule here for the most updated Ecobus routes.
https://ecopark.com.vn/bus-service.html

You can use EcoOne app on your phone to check your Ecobus card status (bus journey left, expiry date, …) or call Ecopark Hotline Customer Support at 1900 555 565.",,,https://ecopark.com.vn/bus-service.html,
Can I request a pick-up location that is not included in the bus schedules?,BUV bus is a service between predetermined collection points and as such does require passengers to travel to a collection point. There is no private pick-up point applied.,,,,
"Can Bus Service add the 2.30pm, 4.30pm time slot for students having classes end at 2pm/4pm?","Based on the timetable and the number of students ending class at 14:30 and 16:00 is not enough for us the arrange bus efficiency, we could not provide a bus service for individual schedule or small number of students but for the majority. Moreover, the buses must go round trips. Thus, with a limited number of buses, we can’t have a bus every hour because it's an hour just sufficient for the bus to make a one-way trip to Hanoi, and it takes another hour to come back to the campus. 

You can utilize our campus facilities or participate in many extra-curriculum activities around campus while waiting for the bus. 

Besides BUV bus, you may also use Ecobus which offers more time slots and destination for your convenience. ",,,,
"I am BUV student, how can i join Zalo community to get bus schedule information","If you are a BUV student who is not attending this semester or parents who wish to receive weekly schedule, kindly joint our community on Zalo through the QR codes",data/img/QR_Code/ZaloQRCode.jpeg,,,
What are the operating hours of the BUV shuttle bus service between Hanoi and the BUV campus?,BUV currently provides a transport service from Hanoi to BUV campus and vice versa which is operating from 6:45 AM to 7:30 PM.,,,,
What transport service does BUV currently provide?,BUV currently provides a transport service from Hanoi to BUV campus and vice versa which is operating from 6:45 AM to 7:30 PM.,,,,
Are private pick-up points allowed for the BUV shuttle bus service?,BUV bus is a service between predetermined collection points and as such does require passengers to travel to a collection point. There is no private pick-up point applied.,,,,
Are passengers required to travel to a collection point for the BUV bus service?,"Yes, BUV bus is a service between predetermined collection points and as such does require passengers to travel to a collection point.",,,,
Who is responsible for any parking costs and arrangements for BUV shuttle bus passengers?,Any associated parking costs and arrangements are the users’ responsibility.,,,,
Where do BUV buses pick up and drop off passengers?,BUV buses only pick up and drop off passengers at the designated points.,,,,
Are BUV buses allowed to pick up passengers at non-designated points?,"No, BUV buses only pick up and drop off passengers at the designated points.",,,,
What should passengers do to ensure they do not miss the bus?,Passengers are highly advised to arrive 5-10 minutes before departure time.,,,,
Do BUV buses wait for passengers who are late?,BUV buses will depart at the scheduled times and do not wait for latecomers.,,,,
What must BUV students and staff wear when using the bus?,BUV students and staffs are required to wear BUV ID Cards when using the bus,,,,
What should other passengers present if they wish to use the BUV bus service?,Other passengers who wish to use the bus should present an invitation email or document from BUV representatives.,,,,
How is the number of buses for each time slot determined?,Number of buses for every time slot is estimated and arranged based on the number of students attending classes at the nearest class time.,,,,
"In case of a bus shortage, how are seats allocated and who gets priority?","In case there is a shortage of buses due to the inconsistent and unexpected bus usage routine of students, seats are allocated on a first come – first served basis and students will be prioritized over staff members.",,,,
When is the weekly bus schedule released?,Weekly bus schedule will be released on every Friday of the previous week. ,,,,
How are students notified of changes to the bus schedule?,"Students should keep an eye on their mailbox to get the most updated bus schedules. Should there be any changes, notice will be announced at least 1 day in advance.",,,,
What is the maximum number of passengers allowed on a BUV bus?,"BUV bus operates with 29-seater coaches, each of which should only transport a maximum of 29 passengers including the bus driver. ",,,,
Are more than 29 passengers ever allowed on a BUV bus?,Under no circumstances are more than 29 people allowed on a vehicle.,,,,
What right does BUV reserve regarding bus routes or slots with low usage?,BUV reserves the right to cancel any bus route or bus slot if the number of users is constantly recorded as too low.,,,,
Under what conditions can BUV cancel a bus route or slot?,BUV reserves the right to cancel any bus route or bus slot if the number of users is constantly recorded as too low.,,,,
What items are prohibited from being carried on the BUV buses?,BUV students and staffs are strictly prohibited from carrying dangerous and flammable goods into the vehicle.,,,,
Are dangerous and flammable goods allowed on BUV buses?,BUV students and staffs are strictly prohibited from carrying dangerous and flammable goods into the vehicle.,,,,
When did BUV start offering the current bus routes?,"Effective January 1st, 2023, BUV offered 4 bus routes from 4 main districts in Hanoi with 12 pick-up points in Hanoi and all designated pick-up points within Ecopark Township.",,,,
How many pick-up points are there in Hanoi and Ecopark Township?,"Effective January 1st, 2023, BUV offered 4 bus routes from 4 main districts in Hanoi with 12 pick-up points in Hanoi and all designated pick-up points within Ecopark Township.",,,,
What are the pick-up and drop-off points for Route 1 - Hai Ba Trung?,"ROUTE 1 - HAI BA TRUNG 51 Le Dai Hanh→ Times City → AEON Mall → Rung Co Ecopark → BUV Campus 
BUV Campus → Rung Co Ecopark → AEON Mall → Times City → 51 Le Dai Hanh",,,,
What are the pick-up points for Route 2 - Ha Dong?,ROUTE 2 – HA DONG Ho Guom Plaza → 473 Nguyen Trai → Muong Thanh Grand Hotel → BUV Campus,,,,
What are the pick-up points for Route 3 - Cau Giay?,"ROUTE 3 – CAU GIAY Nguyen Quoc Tri→ Lang Ha → BUV Campus 
BUV Campus → Lang Ha → Nguyen Quoc Tri",,,,
What are the pick-up points for Route 4 - Tay Ho?,"ROUTE 4 – TAY HO Xuan Dieu → Ho Tay Water Park → Vinhomes Ocean Park → BUV Campus 
BUV Campus → Vinhomes Ocean Park → Ho Tay Water Park → Xuan Dieu",,,,
What are the pick-up points for Route Ecopark to BUV Campus?,ROUTE Ecopark - Hung Yen: Sky Oasis → Sol Forest → Landmark Swanlake → Westbay – B Building → Westbay – C Building → Aquabay - Sky 2 Building → Aquabay – Park 1 - Building → BUV Campus,,,,
Where exactly the pickup/drop-off point Le Dai Hanh of ROUTE 1 - HAI BA TRUNG?,"Pick-up/drop-off point is in 51 Le Dai Hanh (BRG Mart), Hai Ba Trung, Ha Noi",,data/img/Bus_images/route_1/51_Le_Dai_Hanh.png,https://maps.app.goo.gl/5Z33GKjzCQ4HXm827,
Where exactly the pickup/drop-off point Times City of ROUTE 1 - HAI BA TRUNG?,"Pick-up/drop-off point Times City is in Tower 1 opposite the Sun symbol at 458 Minh Khai, Times City, Hai Ba Trung, Ha Noi",,data/img/Bus_images/route_1/Times_City.png,https://maps.app.goo.gl/TXhQPCe52VVa8Bn99,
Where exactly the pickup/drop-off point AEON Mall Long Bien of ROUTE 1 - HAI BA TRUNG?,"Pick-up point AEON Mall Long Bien is in 206 Co Linh, Long Bien, Ha Noi – opposite AEON Mall Long Bien (Under the overpass across the street from the mall)",,data/img/Bus_images/route_1/AEON_Mall.png,https://maps.app.goo.gl/ZsKJAWvXWLYc7PFt5,
Where exactly the pickup/drop-off point AEON Mall Long Bien of ROUTE 1 - HAI BA TRUNG?,"Pick-up/drop-off point: Rung Co E2, Ecopark, Van Giang, Hung Yen",,data/img/Bus_images/route_1/Rung_Co_Ecopark.png,https://maps.app.goo.gl/HogVQNkpkV3zpTmA8,
Where exactly the pickup/drop-off point Sky Oasis of ROUTE Ecopark?,"Pick-up/drop-off point: Sky Oasis - at the parking entrance between S2 & S3 Sky Oasis, Ecopark, Van Giang, Hung Yen",,data/img/Bus_images/route_Ecopark/Sky_Oasis.png,https://maps.app.goo.gl/FRG5m5mVFYNXFWrL9,
Where exactly the pickup/drop-off point Sol Forest of ROUTE Ecopark?,"Pick-up/drop-off point: Sol Forest & Haven Park, Ecopark, Van Giang, Hung Yen",,data/img/Bus_images/route_Ecopark/Sol_Forest.png,https://maps.app.goo.gl/aYqbSnEEjNNZNf8U7,
Where exactly the pickup/drop-off point Landmark of ROUTE Ecopark?,"Pick-up/drop-off point: Landmark, Ecopark, Van Giang, Hung Yen",,data/img/Bus_images/route_Ecopark/Landmark.png,https://maps.app.goo.gl/fxBqBUoCJDyZ66689,
Where exactly the pickup/drop-off point Swanlake of ROUTE Ecopark?,"Pick-up/drop-off point: Swanlake, Ecopark, Van Giang, Hung Yen",,data/img/Bus_images/route_Ecopark/Swanlake.png,https://maps.app.goo.gl/jPWL8FRrP2K7LcMt5,
Where exactly the pickup/drop-off point Westbay - B Building of ROUTE Ecopark?,"Pick-up/drop-off point: Westbay B, Ecopark, Van Giang, Hung Yen",,data/img/Bus_images/route_Ecopark/Westbay_B_Building.png,https://maps.app.goo.gl/xKQ9D3Sdj7CbGMFa6,
Where exactly the pickup/drop-off point Westbay - C Building of ROUTE Ecopark?,"Pick-up/drop-off point: Westbay C, Ecopark, Van Giang, Hung Yen",,data/img/Bus_images/route_Ecopark/Westbay_C_Building.jpeg,https://maps.app.goo.gl/QTeop8dhy8sJkNDu5,
Where exactly the pickup/drop-off point Aquabay Sky 2 Building of ROUTE Ecopark?,"Pick-up/drop-off point: Aquabay Sky 2, Ecopark, Van Giang, Hung Yen",,data/img/Bus_images/route_Ecopark/Aquabay_Sky_2_Building.png,https://maps.app.goo.gl/bNHyGUa72MEGhg7e8,
Where exactly the pickup/drop-off point Aquabay Park 1 of ROUTE Ecopark?,"Pick-up/drop-off point: Aquabay Park 1, Ecopark, Van Giang, Hung Yen",,data/img/Bus_images/route_Ecopark/Aquabay_Park_1.png,https://maps.app.goo.gl/vxRZ7rZn31yb32mp9,
Where exactly the pickup/drop-off point Ho Guom Plaza of ROUTE 2 - HA DONG?,"Pick-up/drop-off point: Ho Guom Plaza on the side at Vu Trong Khanh Street, Mo Lao, Ha Dong, Ha No",,data/img/Bus_images/route_2/Ho_Guom_Plaza.png,https://maps.app.goo.gl/QShde2kSyFzbDhnb6,
Where exactly the pickup/drop-off point Nguyen Trai of ROUTE 2 - HA DONG?,"Pick-up point: 473 Nguyen Trai, Thanh Xuan, Ha Noi",,data/img/Bus_images/route_2/473_Nguyen_Trai.png,https://maps.app.goo.gl/qQaUo6wmaLiBxrsT7,
Where exactly the pickup/drop-off point Muong Thanh Hotel of ROUTE 2 - HA DONG?,"Pick-up point: Muong Thanh Grand Hotel, Nghiem Xuan Yem, Thanh Xuan, Ha Noi 
Drop-off point: Opposite Muong Thanh Grand Hotel, Nghiem Xuan Yem, Thanh Xuan, Ha Noi",,data/img/Bus_images/route_2/Muong_Thanh_Grand_Hotel.png,https://maps.app.goo.gl/XKUeywVLZ19RG7k38,https://maps.app.goo.gl/CoHEz7Q86gmSUeWdA
Where exactly the pickup/drop-off point Linh Nam of ROUTE 2 - HA DONG?,"Pick-up point: No. 1, group 2, Linh Nam, Tran Phu, Ha Dong, Ha Noi
Drop-off point: 634 Linh Nam, Tran Phu, Ha Dong, Ha Noi",,data/img/Bus_images/route_2/Linh_Nam.jpeg,https://maps.app.goo.gl/gX5dE5SpGJHyySUCA,https://maps.app.goo.gl/tXdoZQ4HNDLF5z3fA
Where exactly the pickup/drop-off point Nguyen Quoc Tri of ROUTE 3 - CAU GIAY?,"Pick-up/ drop-off point: B11 – D Nam Trung Yen building, Nguyen Quoc Tri Street, Trung Hoa, Cau Giay, Ha Noi",,data/img/Bus_images/route_3/Nguyen_Quoc_Tri.png,https://maps.app.goo.gl/xsoTyrD46MiMMtDW8,
Where exactly the pickup/drop-off point National Cinema Centre of ROUTE 3 - CAU GIAY?,"Pick-up/ drop-off point: National Cinema Centre 87 Lang Ha, Thanh Cong, Ba Dinh, Ha Noi",,data/img/Bus_images/route_3/National_Cinema_Centre.png,https://maps.app.goo.gl/xd7R96WY3Aq9Poxk6,
Where exactly the pickup/drop-off point Ho Tay Water Park of ROUTE 4 - HO TAY?,Pick-up/drop-off point: Ho Tay Water Park at 614 Lac Long Quan (Near the gate of Ho Tay water park),,data/img/Bus_images/route_4/Ho_Tay_Water_Park.png,https://maps.app.goo.gl/fsBji42rco4qtd9U8,
Where exactly the pickup/drop-off point Nghi Tam of ROUTE 4 - HO TAY?,"Pick-up/ drop-off point: 197 Nghi Tam, Yen Phu, Tay Ho, Ha Noi",,data/img/Bus_images/route_4/Nghi_Tam.png,https://maps.app.goo.gl/xR6cfBGVwRNwKqZh7,
Where exactly the pickup/drop-off point Tran Khanh Du of ROUTE 4 - HO TAY?,"Pick-up/ drop-off point: Vietnam National History Museum at Tran Khanh Du street, Phan Chu Trinh, Hoan Kiem, Ha Noi",,data/img/Bus_images/route_4/Tran_Khanh_Du.png,https://maps.app.goo.gl/ZmNhZKhtXZUNBMbE6,
Where exactly the pickup/drop-off point Vinhom Ocean Park of ROUTE 4 - HO TAY?,Pick-up/ drop-off point: Vinhomes Ocean Park (Parking area opposite building S208),,data/img/Bus_images/route_4/Vinhom_Ocean_Park.png,https://maps.app.goo.gl/ZkmPSCg8qoUQWH4r6,
Where exactly the pickup/drop-off point ... of BUV Campus?,Pick-up & drop-off points at BUV for 04 routes will be demonstrated in the images,,data/img/Bus_images/BUV_Campus.png,,
How to read the bus schedule?,Please refer to the image below,,https://buvbus.blob.core.windows.net/images/Bus_schedule_guide.jpg,,
How many main districts in Hanoi are covered by the BUV bus routes?,"BUV offered 4 bus routes from 4 main districts in Hanoi, and one route from Ecopark Hung Yen to BUV Campus",,,,
Can you list the specific districts in Hanoi where the BUV bus routes operate?,"Hai Ba Trung, Tay ho, Ha Dong and Cau Giay",,,,
How does BUV determine if the number of users is consistently too low for a particular bus route or slot?,BUV reserves the right to cancel any bus route or bus slot If the number of passenger in a specific time slot on all routes records as low as 10 person consistanly.,,,,
